Date,Price
2020-01-10,774.00
2020-01-13,765.00
2020-01-14,763.00
2020-01-15,768.00
2020-01-16,768.00
2020-01-17,754.00
2020-01-20,729.00
2020-01-21,689.00
2020-01-22,623.00
2020-01-23,576.00
2020-01-24,557.00
2020-01-27,546.00
2020-01-28,539.00
2020-01-29,525.00
2020-01-30,498.00
2020-01-31,487.00
2020-02-03,466.00
2020-02-04,453.00
2020-02-05,430.00
2020-02-06,431.00
2020-02-07,415.00
2020-02-10,411.00
2020-02-11,418.00
2020-02-12,421.00
2020-02-13,421.00
2020-02-14,425.00
2020-02-17,434.00
2020-02-18,450.00
2020-02-19,465.00
2020-02-20,480.00
2020-02-21,497.00
2020-02-24,506.00
2020-02-25,508.00
2020-02-26,517.00
2020-02-27,529.00
2020-02-28,535.00
2020-03-02,539.00
2020-03-03,549.00
2020-03-04,562.00
2020-03-05,599.00
2020-03-06,617.00
2020-03-09,616.00
2020-03-10,627.00
2020-03-11,631.00
2020-03-12,633.00
2020-03-13,631.00
2020-03-16,623.00
2020-03-17,612.00
2020-03-18,629.00
2020-03-19,630.00
2020-03-20,625.00
2020-03-23,617.00
2020-03-24,603.00
2020-03-25,582.00
2020-03-26,569.00
2020-03-27,556.00
2020-03-30,548.00
2020-03-31,626.00
2020-04-01,624.00
2020-04-02,624.00
2020-04-03,616.00
2020-04-06,604.00
2020-04-07,596.00
2020-04-08,607.00
2020-04-09,635.00
2020-04-14,679.00
2020-04-15,706.00
2020-04-16,726.00
2020-04-17,751.00
2020-04-20,757.00
2020-04-21,728.00
2020-04-22,694.00
2020-04-23,672.00
2020-04-24,665.00
2020-04-27,661.00
2020-04-28,655.00
2020-04-29,643.00
2020-04-30,635.00
2020-05-01,617.00
2020-05-04,598.00
2020-05-05,575.00
2020-05-06,534.00
2020-05-07,514.00
2020-05-11,474.00
2020-05-12,433.00
2020-05-13,398.00
2020-05-14,393.00
2020-05-15,407.00
2020-05-18,427.00
2020-05-19,453.00
2020-05-20,477.00
2020-05-21,494.00
2020-05-22,498.00
2020-05-26,506.00
2020-05-27,502.00
2020-05-28,489.00
2020-05-29,504.00
2020-06-01,520.00
2020-06-02,546.00
2020-06-03,592.00
2020-06-04,632.00
2020-06-05,679.00
2020-06-08,698.00
2020-06-09,714.00
2020-06-10,764.00
2020-06-11,839.00
2020-06-12,923.00
2020-06-15,973.00
2020-06-16,1054.00
2020-06-17,1246.00
2020-06-18,1527.00
2020-06-19,1555.00
2020-06-22,1558.00
2020-06-23,1617.00
2020-06-24,1705.00
2020-06-25,1738.00
2020-06-26,1749.00
2020-06-29,1794.00
2020-06-30,1799.00
2020-07-01,1803.00
2020-07-02,1823.00
2020-07-03,1894.00
2020-07-06,1956.00
2020-07-07,1949.00
2020-07-08,1849.00
2020-07-09,1810.00
2020-07-10,1810.00
2020-07-13,1792.00
2020-07-14,1742.00
2020-07-15,1696.00
2020-07-16,1699.00
2020-07-17,1710.00
2020-07-20,1678.00
2020-07-21,1594.00
2020-07-22,1473.00
2020-07-23,1388.00
2020-07-24,1317.00
2020-07-27,1293.00
2020-07-28,1264.00
2020-07-29,1317.00
2020-07-30,1348.00
2020-07-31,1350.00
2020-08-03,1385.00
2020-08-07,1501.00
2020-08-10,1506.00
2020-08-11,1510.00
2020-08-12,1540.00
2020-08-13,1577.00
2020-08-14,1595.00
2020-08-17,1598.00
2020-08-18,1586.00
2020-08-19,1568.00
2020-08-20,1518.00
2020-08-21,1481.00
2020-08-24,1491.00
2020-08-25,1518.00
2020-08-26,1509.00
2020-08-27,1504.00
